Food,Price Per Serving [$],Variable Name,Serving Size,Weight [g],Weight [oz],Calcium [mg],percent water,Energy [kcal],Protein [g],Carbohydrate [g],Fiber [g],Cholesterol [mg],Total Fat [g],Iron [mg],Magnesium [mg],Sodium [mg],Phosphorous [mg],Potassium [mg],Zinc [mg],Niacin [mg],Thiamin [mg],Riboflavin [mg],Vit A [RE],Vit B6 [mg],Vit C [mg],Food type
Apple juice,0.26,appleJuice,1 cup,248,8.747952,17,88,116,0.1,29,0.5,0,0.3,0.9,8,7,17,295,0.1,0.25,0.05,0.04,0,0.07,2,FRUITS
Apple pie,1.8,applePie,1 slice,158,5.573292,3,48,403,3,60,3.2,0,18,1.8,10,474,50,10,0.3,1.59,0.17,0.13,29,0.09,0,BAKED GOODS
Apples raw with peel 2 3/4 diam,0.62,rawApple,1 ea,138,4.867812,10,84,80,0.3,21,4.3,0,0.5,0.3,6,1,10,159,0,0.11,0.02,0.02,7,0.07,8,FRUITS
Apricot nectar canned,0.79,cannedApricot,1 cup,251,8.853774,18,85,141,0.9,36.1,1.5,0,0.2,1,13,8,23,286,0.2,0.65,0.02,0.04,330,0.16,2,FRUITS
"Asparagus, raw cuts and tips",0.34,rawAsparagus,1/2 cup,90,3.17466,22,92,22,2.3,4,1.6,0,0.3,0.6,17,4,55,279,0.4,0.95,0.09,0.11,75,0.13,25,VEGETABLES AND LEGUMES
Avocado Calif 1/2 lb with refuse,0.57,rawAvocado,1 ea,173,6.102402,19,73,305,4,12,4.8,0,30,2,70,21,73,1097,0.7,3.32,0.19,0.21,106,0.48,14,FRUITS
"Bagel, plain",1.19,plainBagel,1 ea,68,2.398632,29,29,200,7.5,38.2,0.7,0,1.8,1.8,14,245,46,50,0.3,2.4,0.26,0.2,0,0.03,0,BAKED GOODS
"Bamboo shoots, canned and sliced",0.87,bambooShoots,1 cup,131,4.620894,10,94,25,2.3,4.2,3.3,0,0.5,0.4,6,9,33,105,0.3,0.18,0.03,0.03,1,,1,VEGETABLES AND LEGUMES
Banana raw without peel,0.38,rawBanana,1 ea,114,4.021236,7,74,105,1.2,26.7,3.3,0,0.5,0.3,32,1,22,451,0.2,0.62,0.05,0.11,9,0.66,10,FRUITS
Beef - Liver,0.5,liverBeef,3 oz,85,2.99829,9,56,185,23,7,0,410,7,5.3,16,90,392,309,4.3,12.3,0.18,3.52,9120,0.31,23,MEAT
Beef - Steak lean and fat,1.3,steakBeef,3 oz,85,2.99829,9,53,240,23,0,0,77,15,2.6,18,53,186,306,4.9,3.3,0.1,0.23,0,0.29,0,MEAT
Beef dried chipped,1.23,driedBeef,2.5 oz,72,2.539728,14,48,145,24,0,0,46,4,2.3,27,3053,287,142,4.1,2.7,0.05,0.23,0,0.14,0,MEAT
Beef gravy canned,1.2,gravyBeef,1 cup,233,8.218842,14,88,124,8.7,11.2,0.4,7,5.5,1.6,3,117,70,189,2.3,1.54,0.07,0.08,0,0.02,0,"SOUPS, SAUCES, AND GRAVIES"
Beer Light (12 fl oz),1.75,lightBeer,1 1/2 cups,354,12.486996,18,95,100,0.7,4.6,0.3,0,0,0.1,18,10,43,64,0.1,0.01,0.01,0.01,0,0.12,0,BEVERAGES
Beer Regular (12 fl oz),1.85,regularBeer,1 1/2 cups,356,12.557544,18,92,146,0.9,13.2,0.7,0,0,0.1,23,19,44,89,0.1,1.61,0.02,0.09,0,0.18,0,BEVERAGES
Beets cooked sliced or diced,1.17,cookedBeet,1/2 cup,85,2.99829,9,91,26,0.9,5.7,2,0,0.1,0.5,31,42,26,266,0.2,0.23,0.03,0.01,1,0.03,5,VEGETABLES AND LEGUMES
Blackberries raw,1.3,rawBlackberry,1 cup,144,5.079456,46,86,74,1,18.4,9.7,0,0.6,0.8,29,0,30,282,0.4,0.58,0.04,0.06,24,0.08,30,FRUITS
Blackeyed peas frozen drained,0.6,blackeyedPea,1 cup,170,5.99658,40,66,224,14.4,40.4,7.3,0,1.1,3.6,85,9,208,638,2.4,1.24,0.42,0.11,13,0.16,4,VEGETABLES AND LEGUMES
Blueberries raw,1.15,rawBlueberry,1 cup,145,5.11473,9,85,82,1,20.5,4.9,0,0.6,0.2,7,9,15,129,0.2,0.7,0.07,0.07,15,0.05,20,FRUITS
"Bread crumbs, dry grated",0.35,crumbBread,1 cup,100,3.5274,122,7,390,13,73,4,5,5,4.1,31,736,141,152,0.5,4.8,0.35,0.35,0,0.02,0,BAKED GOODS
"Broccoli - Cooked, raw, spears",0.56,rawBroccoli,1 spear,180,6.34932,205,90,53,5.3,10,7.4,0,0.5,2.2,106,20,86,293,0.3,1.36,0.15,0.37,254,0.36,113,VEGETABLES AND LEGUMES
Brussel sprouts cooked raw,0.65,brusselSprout,1 cup,156,5.502744,56,87,60,6,13.5,5.6,0,0.8,1.9,32,17,87,491,0.5,0.95,0.17,0.12,112,0.31,97,VEGETABLES AND LEGUMES
"Burrito, beef and bean",5.64,beefBurrito,1 ea,175,6.17295,165,54,390,21,40,5,52,17.5,2.7,61,516,274,388,3.3,4.36,0.26,0.29,58,0.73,5,MIXED DISHES AND FAST FOODS
Butter - Stick,0.32,butter,1/2 cup,113,3.985962,27,16,813,1,0.1,0,247,92,0.2,2,933,26,29,0.1,0.05,0.01,0.04,852,0.01,0,FATS AND OILS
Buttermilk,0.89,butterMilk,1 cup,245,8.64213,285,90,99,8.1,11.7,0,9,2.2,0.1,26,257,219,371,1,0.14,0.08,0.38,20,0.08,2,DAIRY
Bacon,0.52,bacon,2 pce,47,1.657878,5,62,86,11.3,0.6,0,27,3.9,0.4,10,719,138,181,0.8,3.22,0.38,0.09,0,0.21,10,MEAT
Cantaloupe,0.26,cantaloupe,1/2 ea,267,9.418158,29,90,94,2.4,22.3,2.7,0,0.7,0.6,19,24,45,825,0.4,1.53,0.1,0.06,861,0.31,113,FRUITS
Carbonated Cola (12 fl oz),0.99,cola,1 1/2 cups,370,13.05138,9,99,0,0,0,0,0,0,0.1,3,14,46,4,0,0,0,0,0,0,0,BEVERAGES
Carbonated Diet Cola (12 fl oz),1.2,dietCola,1 1/2 cups,355,12.52227,12,99,2,0.2,0.3,0,0,0,0.1,4,21,30,0,0.3,0,0.02,0.08,0,0,0,BEVERAGES
"Carrot cake, cream cheese",2.56,carrotCake,1 pce,96,3.386304,44,23,385,4.2,48,0.7,74,21,1.3,12,279,62,108,0.5,0.9,0.11,0.12,15,0.86,1,BAKED GOODS
Carrot juice,0.59,carrotJuice,3/4 cup,184,6.490416,44,89,73,1.7,17.1,2.5,0,0.3,0.6,26,54,77,538,0.3,0.71,0.17,0.1,3167,0.4,11,VEGETABLES AND LEGUMES
Carrots whole raw,0.35,rawCarrot,1 carrot,72,2.539728,19,88,31,0.7,7.3,2,0,0.1,0.4,11,25,32,233,0.1,0.67,0.07,0.04,2025,0.11,7,VEGETABLES AND LEGUMES
"Cauliflower - Cooked, raw",0.38,cauliflower,1/2 cup,62,2.186988,17,92,15,1.2,2.9,1.7,0,0.1,0.3,7,4,22,200,0.1,0.34,0.04,0.04,0,0.12,34,VEGETABLES AND LEGUMES
"Celery, pascal large stalk",0.48,celery,1 stalk,40,1.41096,14,95,6,0.3,1.4,0.8,0,0.1,0.2,5,0.35,10,114,0.1,0.12,0.01,0.01,5,0.01,3,VEGETABLES AND LEGUMES
Cheese - Blue,1.43,blueCheese,1 oz,28,0.987672,150,42,100,6.1,0.7,0,21,8.1,0.1,7,396,110,73,0.8,0.29,0.01,0.11,65,0.05,0,DAIRY
Cheese - Cheddar cut pieces,0.31,cheddarCheese,1 oz,28,0.987672,204,37,114,7.1,0.4,0,30,9.4,0.2,8,176,146,28,0.9,0.02,0.01,0.11,86,0.02,0,DAIRY
Cheese - Cream,0.25,creamCheese,1 oz,28,0.987672,23,54,99,2.1,0.8,0,31,9.9,0.3,2,84,30,34,0.3,0.03,0.01,0.06,124,0.01,0,DAIRY
Cheese - Monterey Jack,0.31,montereyJackCheese,1 oz,28,0.987672,212,41,106,6.9,0.2,0,26,8.6,0.2,8,152,126,23,0.8,0.02,0.01,0.11,81,0.02,0,DAIRY
Cheese - Swiss,0.28,swissCheese,1 oz,28,0.987672,272,37,107,8,1,0,26,7.8,0,10,74,171,31,1.1,0.03,0.01,0.1,72,0.02,0,DAIRY
Cheese crackers,1.11,crackersCheese,10 ea,10,0.35274,11,4,50,1,6,0,6,3,0.3,22,112,17,17,0.1,0.4,0.05,0.04,5,0.01,0,BAKED GOODS
Cheese Gouda,0.5,goudaCheese,1 oz,28,0.987672,198,42,101,7.1,0.6,0,0.32,7.7,0.1,8,232,155,34,1.1,0.02,0.01,0.1,49,0.02,0,DAIRY
Cheese Mozzarella whole milk,0.31,mozzarellaCheese,1 oz,28,0.987672,147,54,80,5.5,0.6,0,22,5.8,0,5,106,105,19,0.7,0.02,0.01,0.07,68,0.02,0,DAIRY
Cherries sweet raw without pits,0.6,cherry,10 ea,68,2.398632,10,81,49,0.8,11.3,1.3,0,0.7,0.3,8,0,13,152,0,0.3,0.03,0.04,15,0.02,5,FRUITS
Chicken - Roasted whole,0.79,roastedChicken,1 cup,140,4.93836,21,64,266,40.5,0,0,125,10.4,1.7,35,120,273,340,2.9,12.8,0.1,0.25,22,0.65,0,POULTRY
Chicken breast fried w/batter,0.98,friedChicken,1 ea,140,4.93836,28,52,364,34.8,12.6,0,119,18.5,1.8,34,385,258,282,1.3,14.7,0.16,0.2,28,0.6,0,POULTRY
Chili powder,0.1,chilliPowder,1 tsp,3,0.105822,7,8,8,0.3,1.4,0.6,0,0.4,0.4,4,26,8,50,0.1,0.2,0.01,0.02,91,,2,MISCELLANEOUS
Chocolate Chip cookies commercial,0.75,cookiesChocolateChip,4 ea,42,1.481508,16,4,180,2.3,28,0.2,5,8.8,0.8,9,140,41,56,0.3,0.9,0.1,0.23,15,0.02,0,BAKED GOODS
Clams - raw,0.85,rawClam,3 oz,85,2.99829,59,82,65,11,0.2,0,43,1,2.6,31,102,138,154,1.4,1.1,0.09,0.15,26,0.07,9,FISH/SHELLFISH
Coffee Brewed,0.39,brewedCoffee,1 cup,240,8.46576,4,99,2,0.1,1.1,0,0,0,1,14,5,2,130,0,0.53,0,0,0,0,0,BEVERAGES
Coffee Instant,0.35,instantCoffee,1 cup,240,8.46576,8,99,2,0.3,0.9,0,0,0,0.1,11,8,8,87,0.1,0.69,0,0.01,0,0,0,BEVERAGES
Cole slaw,0.49,coleSlaw,1 cup,120,4.23288,54,82,84,1.5,14.9,2.4,10,3.1,0.7,12,28,38,218,0.2,0.33,0.08,0.07,98,0.17,39,MIXED DISHES AND FAST FOODS
Corn Chips,0.23,cornChips,1 oz,28,0.987672,35,1,155,2,16,0.3,0,9,0.5,19,233,52,52,0.4,0.4,0.04,0.05,11,0.04,1,BAKED GOODS
Corn ,0.56,cornChips,1 ear,77,2.716098,2,70,83,2.6,19.4,3.6,0,1,0.5,25,13,79,192,0.4,1.24,0.17,0.06,17,0.18,5,VEGETABLES AND LEGUMES
Corn dog,2.63,cornDog,1 ea,111,3.915414,34,45,330,10,27.3,0.1,37,20,1.9,22,1252,303,164,1.4,3.27,0.28,0.17,0,0.11,3,MIXED DISHES AND FAST FOODS
Cottage Creamed small curd,1.92,cottageCream,1 cup,210,7.40754,126,79,215,26.2,5.6,0,31,8.9,0.3,11,850,277,177,0.8,0.27,0.04,0.34,101,0.14,0,DAIRY
Cream sour cultured,0.96,sourCream,1 cup,230,8.11302,268,71,493,7.3,9.8,0,102,48.2,0.1,26,123,195,331,0.7,0.15,0.08,0.34,448,0.04,2,DAIRY
Croissant 4 1/2 x 4 x 1 3/4 in,1.49,croissant,1 ea,57,2.010618,20,22,235,5,27,0.5,13,12,2.1,6,452,64,68,0.3,1.3,0.17,0.13,13,0.03,0,BAKED GOODS
Cucumber with peel,0.45,cucumber,6 slices,28,0.987672,4,96,4,0.2,0.8,0.4,0,0.1,0.1,3,0.6,5,42,0.1,0.09,0.01,0.01,1,0.01,1,VEGETABLES AND LEGUMES
Custard baked,0.78,bakedCustard,1 cup,265,9.34761,297,77,305,14,29,0,278,15,1.1,37,209,310,387,1.5,0.3,0.11,0.5,146,0.13,1,DAIRY
Dandelion greens (raw),0.34,dandelionGreen,1 cup,55,1.94007,147,86,25,1.5,5.1,0.9,0,0.4,1.9,20,42,36,218,0.6,0.39,0.1,0.14,770,0.04,19,VEGETABLES & LEGUMES
Dates whole without pits,0.54,dates,10 ea,83,2.927742,27,22,228,1.6,61,7.2,0,0.4,1,29,2,33,541,0.2,1.83,0.07,0.08,4,0.16,0,FRUITS
Duck meat only roasted,0.94,roastedDuck,1/2 duck,221,7.795554,27,64,445,51.9,0,0,198,24.8,6,44,143,449,557,5.8,11.3,0.57,1.04,51,0.55,0,POULTRY
Egg Nog commercial,1.9,eggNog,1 cup,254,8.959596,330,74,342,9.7,34.4,0,149,19,0.5,47,138,278,420,1.2,0.27,0.09,0.48,203,0.13,4,DAIRY
